family,midparentHeight,children,childNum,gender,childHeight,pair,parentHeight
1,75.43,4,2,female,69.2,father_daughter,78.5
1,75.43,4,1,male,73.2,father_son,78.5
2,73.66,4,4,female,65.5,father_daughter,75.5
2,73.66,4,2,male,72.5,father_son,75.5
3,72.06,2,2,female,68,father_daughter,75
3,72.06,2,1,male,71,father_son,75
4,72.06,5,5,female,63,father_daughter,75
4,72.06,5,2,male,68.5,father_son,75
5,69.09,6,5,female,62.5,father_daughter,75
5,69.09,6,1,male,72,father_son,75
6,73.72,1,1,female,69.5,father_daughter,74
7,73.72,6,5,female,70.5,father_daughter,74
7,73.72,6,3,male,73,father_son,74
8,72.91,3,2,female,68,father_daughter,74
9,72.89,1,1,female,66,father_daughter,74.5
10,72.37,1,1,female,65.5,father_daughter,74
11,70.48,8,7,female,63.5,father_daughter,74
11,70.48,8,2,male,70,father_son,74
12,69.94,1,1,female,65,father_daughter,74
13,72.68,2,2,female,62,father_daughter,73
13,72.68,2,1,male,71,father_son,73
14,72.68,2,1,male,68,father_son,73
15,72.41,3,3,female,66.7,father_daughter,73
15,72.41,3,1,male,71,father_son,73
16,71.6,9,7,female,66.5,father_daughter,73
16,71.6,9,2,male,70.5,father_son,73
17,71.33,6,5,female,66.5,father_daughter,73
17,71.33,6,2,male,73,father_son,73
18,71.06,3,3,female,64,father_daughter,73
19,70.62,1,1,female,62.7,father_daughter,73.2
20,73.61,8,6,female,68.5,father_daughter,72.7
20,73.61,8,2,male,73,father_son,72.7
21,72.72,3,2,female,68.5,father_daughter,72
21,72.72,3,1,male,73,father_son,72
22,72.18,3,3,female,67,father_daughter,72
22,72.18,3,2,male,71,father_son,72
23,71.1,7,7,female,65,father_daughter,72
23,71.1,7,1,male,74.2,father_son,72
24,71.37,1,1,female,65.5,father_daughter,72
25,70.56,2,1,female,66,father_daughter,72
26,70.02,5,5,female,63,father_daughter,72
26,70.02,5,2,male,70.5,father_son,72
27,70.02,3,3,female,63,father_daughter,72
27,70.02,3,2,male,67,father_son,72
28,70.02,6,5,female,66.5,father_daughter,72
28,70.02,6,2,male,67,father_son,72
29,70.54,3,1,female,67.5,father_daughter,72.5
30,69.48,1,1,female,64,father_daughter,72
31,69.73,6,6,female,65,father_daughter,72.5
31,69.73,6,3,male,70,father_son,72.5
32,69.48,5,4,female,67.5,father_daughter,72
32,69.48,5,3,male,69,father_son,72
33,69.48,5,5,female,68,father_daughter,72
33,69.48,5,1,male,72,father_son,72
34,68.94,1,1,female,65.7,father_daughter,72
35,72.76,5,5,female,67,father_daughter,71
35,72.76,5,2,male,74,father_son,71
36,71.68,4,4,female,67,father_daughter,71
36,71.68,4,2,male,73,father_son,71
37,71.14,4,3,female,67,father_daughter,71
37,71.14,4,1,male,70,father_son,71
38,71.14,6,4,female,66,father_daughter,71
38,71.14,6,2,male,69,father_son,71
39,71.14,2,2,female,67,father_daughter,71
39,71.14,2,1,male,71,father_son,71
40,71.14,5,5,female,66,father_daughter,71
40,71.14,5,2,male,72,father_son,71
41,71.22,1,1,male,70.5,father_son,71.7
42,70.87,6,5,female,66,father_daughter,71
42,70.87,6,4,male,69,father_son,71
43,71.12,2,2,female,65.2,father_daughter,71.5
43,71.12,2,1,male,73,father_son,71.5
44,70.85,2,1,male,68.5,father_son,71.5
45,70.6,3,3,female,62,father_daughter,71
45,70.6,3,1,male,68,father_son,71
46,70.06,8,8,female,65,father_daughter,71
47,70.68,4,4,female,67,father_daughter,71.7
47,70.68,4,2,male,71,father_son,71.7
48,70.06,3,3,male,68,father_son,71
49,70.58,7,7,female,62,father_daughter,71.5
49,70.58,7,2,male,71,father_son,71.5
50,70.33,2,2,female,62,father_daughter,71
50,70.33,2,1,male,73,father_son,71
51,69.62,2,1,female,67.5,father_daughter,71.2
52,69.79,5,5,female,63.5,father_daughter,71
52,69.79,5,1,male,71,father_son,71
53,69.52,9,8,female,63,father_daughter,71
53,69.52,9,1,male,71,father_son,71
54,69.52,4,4,female,63.5,father_daughter,71
54,69.52,4,1,male,71,father_son,71
55,68.98,5,3,female,64.5,father_daughter,71
55,68.98,5,1,male,71,father_son,71
56,68.98,5,5,female,60,father_daughter,71
56,68.98,5,3,male,70.5,father_son,71
57,69.25,5,5,female,62.5,father_daughter,71
57,69.25,5,1,male,70,father_son,71
58,68.98,7,6,female,64.5,father_daughter,71
58,68.98,7,3,male,69,father_son,71
59,68.44,1,1,female,62,father_daughter,71
60,66.82,2,2,male,69,father_son,71
61,72.26,4,4,female,69,father_daughter,70
61,72.26,4,2,male,70,father_son,70
62,72.26,6,4,female,66,father_daughter,70
62,72.26,6,2,male,68.7,father_son,70
63,71.72,1,1,male,75,father_son,70
64,71.18,5,3,female,66,father_daughter,70
64,71.18,5,1,male,70,father_son,70
65,71.18,1,1,female,67.5,father_daughter,70
66,70.91,11,11,female,63.7,father_daughter,70
66,70.91,11,3,male,72,father_son,70
67,70.35,4,4,male,68.5,father_son,70.5
68,70.35,5,4,female,61,father_daughter,70.5
69,70.1,8,7,female,63,father_daughter,70
69,70.1,8,3,male,70.5,father_son,70
70,70.1,5,3,female,64.5,father_daughter,70
70,70.1,5,1,male,67,father_son,70
71,70.1,6,5,female,65,father_daughter,70
71,70.1,6,1,male,70,father_son,70
72,70.1,7,5,female,67,father_daughter,70
72,70.1,7,2,male,75,father_son,70
73,70.1,3,3,female,65,father_daughter,70
73,70.1,3,1,male,73,father_son,70
74,70.1,2,1,male,69,father_son,70
75,69.938,7,4,female,66.5,father_daughter,70
75,69.938,7,3,male,68.7,father_son,70
76,69.56,7,7,female,67,father_daughter,70
76,69.56,7,4,male,67,father_son,70
77,69.56,4,4,female,65.5,father_daughter,70
77,69.56,4,1,male,70,father_son,70
78,69.668,5,4,female,61.2,father_daughter,70
78,69.668,5,2,male,70,father_son,70
79,69.81,8,7,female,65.5,father_daughter,70.5
79,69.81,8,1,male,74,father_son,70.5
80,70.08,1,1,female,60,father_daughter,70.5
81,69.56,4,4,female,62,father_daughter,70
81,69.56,4,1,male,68,father_son,70
82,69.56,9,8,female,65,father_daughter,70
82,69.56,9,4,male,70,father_son,70
83,69.398,8,8,female,61,father_daughter,70
83,69.398,8,2,male,67,father_son,70
84,69.27,4,4,female,63.5,father_daughter,70.5
84,69.27,4,2,male,68.5,father_son,70.5
85,69.27,5,4,female,64.5,father_daughter,70.5
85,69.27,5,1,male,72.5,father_son,70.5
86,69.29,4,4,female,63.5,father_daughter,70
86,69.29,4,1,male,71,father_son,70
87,69.02,4,3,female,63.7,father_daughter,70
87,69.02,4,2,male,67,father_son,70
88,69.02,4,3,female,62,father_daughter,70
88,69.02,4,2,male,66.5,father_son,70
89,68.73,8,7,female,64,father_daughter,70.5
89,68.73,8,3,male,69.5,father_son,70.5
90,69.008,7,5,female,64,father_daughter,70.3
90,69.008,7,2,male,69.7,father_son,70.3
91,68.73,3,3,female,60,father_daughter,70.5
91,68.73,3,1,male,72,father_son,70.5
92,67.94,2,2,male,67,father_son,70
93,67.4,4,3,female,65,father_daughter,70
93,67.4,4,1,male,67,father_son,70
94,67.4,2,1,female,65,father_daughter,70
95,66.59,3,3,female,63,father_daughter,70
95,66.59,3,2,male,64.5,father_son,70
96,66.32,5,4,female,65,father_daughter,70
96,66.32,5,2,male,66,father_son,70
97,71.49,10,10,female,64,father_daughter,69
97,71.49,10,2,male,71,father_son,69
98,70.68,1,1,female,64,father_daughter,69
99,70.14,8,6,female,65,father_daughter,69
99,70.14,8,3,male,71.7,father_son,69
100,70.14,3,2,male,71,father_son,69
101,70.518,4,3,male,72,father_son,69
102,70.14,6,6,female,62.5,father_daughter,69
102,70.14,6,3,male,68,father_son,69
103,70.41,7,7,female,61,father_daughter,69
103,70.41,7,3,male,70.5,father_son,69
104,70.66,4,4,female,64,father_daughter,69.5
104,70.66,4,2,male,67.5,father_son,69.5
105,70.41,6,5,female,63,father_daughter,69
105,70.41,6,1,male,71,father_son,69
106,70.39,7,7,female,64.5,father_daughter,69.5
106,70.39,7,2,male,71,father_son,69.5
107,70.14,9,5,female,66.5,father_daughter,69
107,70.14,9,4,male,69,father_son,69
108,69.6,7,6,female,63.5,father_daughter,69
108,69.6,7,3,male,67,father_son,69
109,69.58,7,4,female,65.2,father_daughter,69.5
109,69.58,7,3,male,60,father_son,69.5
110,69.16,4,4,female,63.5,father_daughter,69.2
110,69.16,4,2,male,66.5,father_son,69.2
111,68.79,1,1,female,65.5,father_daughter,69
112,68.52,3,3,female,63.5,father_daughter,69
112,68.52,3,1,male,69,father_son,69
113,68.52,1,1,male,72,father_son,69
114,68.52,6,6,female,62,father_daughter,69
114,68.52,6,2,male,70,father_son,69
115,68.79,7,6,female,62,father_daughter,69
115,68.79,7,1,male,70.5,father_son,69
116,68.79,3,3,female,63,father_daughter,69
116,68.79,3,1,male,70.5,father_son,69
117,68.33,1,1,female,62.5,father_daughter,69.7
118,68.23,3,1,male,73,father_son,69.5
119,67.98,5,5,female,63,father_daughter,69
119,67.98,5,3,male,71,father_son,69
120,68.23,11,6,female,64.5,father_daughter,69.5
120,68.23,11,1,male,72,father_son,69.5
121,68.25,8,7,female,62.5,father_daughter,69
121,68.25,8,3,male,70,father_son,69
122,67.98,4,3,female,66,father_daughter,69
122,67.98,4,1,male,72,father_son,69
123,67.69,5,5,female,62,father_daughter,69.5
123,67.69,5,3,male,69,father_son,69.5
124,67.44,9,7,female,63.5,father_daughter,69
124,67.44,9,5,male,63,father_son,69
125,66.9,3,3,female,62.5,father_daughter,69
125,66.9,3,1,male,70.5,father_son,69
126,66.9,4,3,female,61.7,father_daughter,69
126,66.9,4,2,male,66,father_son,69
127,67.17,1,1,male,69.5,father_son,69
128,72.42,2,2,female,61.7,father_daughter,68.7
128,72.42,2,1,male,71,father_son,68.7
129,70.43,3,3,female,67,father_daughter,68.5
129,70.43,3,1,male,73,father_son,68.5
130,70.16,11,11,female,63.2,father_daughter,68.5
130,70.16,11,6,male,68.5,father_son,68.5
131,69.1,2,2,male,66,father_son,68
132,69.37,2,2,female,64,father_daughter,68
132,69.37,2,1,male,66,father_son,68
133,69.37,7,5,female,66.5,father_daughter,68
133,69.37,7,2,male,71.5,father_son,68
134,69.1,4,4,female,66,father_daughter,68
134,69.1,4,1,male,72,father_son,68
135,69.35,8,5,female,62,father_daughter,68.5
135,69.35,8,2,male,68,father_son,68.5
136,68.56,10,8,female,63,father_daughter,68
136,68.56,10,2,male,68,father_son,68
136A,69.35,8,8,female,63,father_daughter,68.5
136A,69.35,8,4,male,68.5,father_son,68.5
137,68.56,4,4,female,62,father_daughter,68
137,68.56,4,1,male,66,father_son,68
138,68.56,5,5,female,62.5,father_daughter,68
138,68.56,5,2,male,71.2,father_son,68
139,68.83,1,1,female,62,father_daughter,68
140,68.56,10,10,female,63,father_daughter,68
140,68.56,10,1,male,69,father_son,68
141,68.02,8,7,female,62,father_daughter,68
141,68.02,8,2,male,70,father_son,68
142,68.54,4,4,female,65.5,father_daughter,68.5
142,68.54,4,1,male,73.5,father_son,68.5
143,68.02,1,1,male,67,father_son,68
144,68.02,4,4,female,64,father_daughter,68
144,68.02,4,2,male,68,father_son,68
145,68.02,8,8,female,62,father_daughter,68
145,68.02,8,3,male,66,father_son,68
146,68.02,6,5,female,63.5,father_daughter,68
146,68.02,6,2,male,67,father_son,68
147,68.54,1,1,male,68.2,father_son,68.5
148,68.02,1,1,male,70,father_son,68
149,68.39,5,5,female,64.5,father_daughter,68.2
149,68.39,5,2,male,69,father_son,68.2
150,67.75,1,1,male,68.5,father_son,68
151,67.83,2,2,female,61.7,father_daughter,68.7
151,67.83,2,1,male,67.7,father_son,68.7
152,67.75,1,1,male,66.5,father_son,68
153,66.94,5,5,female,63,father_daughter,68
153,66.94,5,3,male,64,father_son,68
154,66.508,1,1,male,66.7,father_son,68
155,66.4,7,2,female,61,father_daughter,68
155,66.4,7,1,male,64,father_son,68
156,66.4,4,4,female,60,father_daughter,68
156,66.4,4,1,male,67.5,father_son,68
157,66.11,1,1,male,69,father_son,68.5
158,65.86,10,7,female,65,father_daughter,68
158,65.86,10,3,male,64.7,father_son,68
159,69.248,5,4,female,65.5,father_daughter,67
159,69.248,5,1,male,72.7,father_son,67
160,69.41,1,1,male,71,father_son,67
161,69.14,8,6,female,68,father_daughter,67
161,69.14,8,1,male,73,father_son,67
162,68.6,6,4,female,65,father_daughter,67
162,68.6,6,2,male,67.5,father_son,67
163,68.87,5,3,female,65.5,father_daughter,67
163,68.87,5,2,male,69,father_son,67
164,68.87,4,4,female,60,father_daughter,67
164,68.87,4,1,male,70,father_son,67
165,68.6,3,2,female,62,father_daughter,67
165,68.6,3,1,male,65,father_son,67
166,68.85,11,5,female,63,father_daughter,67.5
166,68.85,11,1,male,71,father_son,67.5
167,68.06,4,1,male,71.5,father_son,67
168,67.79,8,8,female,63.5,father_daughter,67
168,67.79,8,2,male,70.2,father_son,67
169,67.52,3,3,female,63,father_daughter,67
169,67.52,3,2,male,68,father_son,67
170,67.23,5,5,female,66,father_daughter,67.5
170,67.23,5,3,male,69,father_son,67.5
171,66.44,1,1,male,67,father_son,67
172,69.18,8,6,female,62,father_daughter,66
172,69.18,8,1,male,70.5,father_son,66
173,69.18,9,4,female,67,father_daughter,66
173,69.18,9,3,male,65,father_son,66
174,68.64,5,5,female,65.5,father_daughter,66
174,68.64,5,1,male,66,father_son,66
175,68.64,6,4,female,65,father_daughter,66
175,68.64,6,1,male,72,father_son,66
176,68.35,8,6,female,60.5,father_daughter,66.5
176,68.35,8,4,male,64.5,father_son,66.5
177,68.37,5,4,female,66,father_daughter,66
177,68.37,5,3,male,67,father_son,66
178,67.02,1,1,male,70,father_son,66
179,67.29,2,1,female,64.5,father_daughter,66
180,67.27,6,4,female,65,father_daughter,66.5
180,67.27,6,1,male,67.2,father_son,66.5
181,67,7,7,female,62.5,father_daughter,66.5
181,67,7,2,male,68,father_son,66.5
182,66.21,1,1,male,70,father_son,66
183,65.4,4,4,female,60,father_daughter,66
183,65.4,4,1,male,68,father_son,66
184,65.4,1,1,male,65,father_son,66
185,64.86,15,15,female,57,father_daughter,66
185,64.86,15,5,male,65.7,father_son,66
186,68.68,4,4,female,65,father_daughter,65
186,68.68,4,1,male,66.5,father_son,65
187,68.68,1,1,female,63,father_daughter,65
188,68.14,4,4,female,60,father_daughter,65
188,68.14,4,1,male,63,father_son,65
189,68.14,5,5,female,61,father_daughter,65
189,68.14,5,3,male,65,father_son,65
190,67.6,9,8,female,61,father_daughter,65
190,67.6,9,1,male,69,father_son,65
191,67.87,2,2,female,65.5,father_daughter,65
191,67.87,2,1,male,70.7,father_son,65
192,67.6,6,5,female,64.5,father_daughter,65
192,67.6,6,2,male,69,father_son,65
193,67.06,6,6,female,60.5,father_daughter,65
193,67.06,6,1,male,67,father_son,65
194,66.52,2,2,female,63,father_daughter,65
194,66.52,2,1,male,70,father_son,65
195,66.52,3,3,female,63,father_daughter,65
195,66.52,3,2,male,66,father_son,65
196,66.77,4,4,female,63.5,father_daughter,65.5
196,66.77,4,3,male,69,father_son,65.5
197,65.15,5,5,female,62,father_daughter,65.5
197,65.15,5,3,male,67,father_son,65.5
198,66.56,7,4,female,64,father_daughter,64
198,66.56,7,2,male,68,father_son,64
199,66.56,7,4,female,65,father_daughter,64
199,66.56,7,1,male,70.5,father_son,64
200,66.02,1,1,male,64.5,father_son,64
201,64.4,2,2,female,60,father_daughter,64
201,64.4,2,1,male,66,father_son,64
202,65.79,2,1,female,68.5,father_daughter,63
203,66.64,3,2,female,62,father_daughter,62
203,66.64,3,1,male,64,father_son,62
204,65.27,2,2,female,57,father_daughter,62.5
